대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
서울특별시 성동구 사근동 176-5,11200,10600,0,0176,0005,202508,서울특별시 성동구 사근동8길 8 (사근동) ,1,112004109293,0,8,0,6534
서울특별시 성동구 사근동 176-5,11200,10600,0,0176,0005,202509,서울특별시 성동구 사근동8길 8 (사근동) ,1,112004109293,0,8,0,6472
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202501,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,4330
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202502,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,4714
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202503,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,3790
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202504,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,3396
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202505,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,2928
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202506,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,3533
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202507,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,4541
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202508,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,2753
서울특별시 성동구 사근동 176-10,11200,10600,0,0176,0010,202509,서울특별시 성동구 사근동길 56 (사근동) ,1,112004109297,0,56,0,2265
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202501,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,247
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202502,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,498
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202503,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,262
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202504,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,111
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202505,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,83
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202506,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,87
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202507,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,104
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202508,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,169
서울특별시 성동구 사근동 176-25,11200,10600,0,0176,0025,202509,서울특별시 성동구 사근동4길 2 (사근동) ,1,112004109289,0,2,0,132
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202501,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,5038
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202502,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,5090
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202503,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,4478
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202504,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,3166
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202505,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,2365
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202506,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,2274
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202507,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,3043
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202508,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,3853
서울특별시 성동구 사근동 176-36,11200,10600,0,0176,0036,202509,서울특별시 성동구 사근동길 54-1 (사근동) ,1,112004109297,0,54,1,3465
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202501,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,4707
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202502,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,4201
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202503,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,3832
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202504,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,4211
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202505,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,4052
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202506,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,5261
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202507,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,6757
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202508,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,7730
서울특별시 성동구 사근동 178,11200,10600,0,0178,0000,202509,서울특별시 성동구 사근동8길 3 (사근동) ,1,112004109293,0,3,0,7056
