통계명,지표값,연도,최종업데이트,출처,기관명
신재생에너지 보급용량&#40;발전외&#41;,27054㎡,2019,2020-11,2019년 신재생에너지 보급통계,KEA 신재생에너지센터
세계 1차에너지 공급 순위 &#40;우리나라 기준&#41;,8위,2016,2018-11,World Energy Balance,IEA
세계 1인당 전력소비량 순위 &#40;우리나라 기준&#41;,13위,2016,2018-11,World Energy Balance,IEA
에너지원단위 &#40;부가가치 기준&#41;,0.22,2016,2018-11,World Energy Balance,IEA
에너지원단위 &#40;PPP기준&#41;,0.16,2016,2018-11,World Energy Balance,IEA
원/달러 환율 &#40;매매기준율 기준&#41;,1170.80원,2021,2021-08,경제통계시스템,한국은행
1인당 국민총소득 &#40;GNI&#41;,32880.6달러,2020,2021-06,경제통계시스템,한국은행
1차에너지 공급 순위,8위,2015,2018-05,World Energy Balance,IEA
석유소비량 순위,8위,2015,2018-05,Statiscal Review of World Energy,BP
전력소비량 순위,8위,2015,2018-05,World Energy Balance,IEA
CO2 배출 순위,7위,2015,2018-05,CO2 Emission from fuel Combustion,IEA
1인당 에너지소비량 순위,17위,2015,2018-05,World Energy Balance,IEA
1인당 전력소비량 순위,13위,2015,2018-05,World Energy Balance,IEA
전력수급 기본계획,647.9/554.8TWh,2034,2020-12,제9차 전력수급기본계획,산업통상자원부
천연가스 수급계획,4797 만톤,2034,2021-04,제 14차 장기 천연가스 수급계획,산업통상자원부
천연가스 수급계획(‘31년 천연가스 수요전망),4049만톤,2031,2018-04,장기 천연가스 수급계획,산업통상자원부
신재생에너지 기본계획,23.5백만toe,2034,2020-12,신재생에너지 기본계획,산업통상자원부
신재생에너지 기본계획(‘35년 1차에너지 대비 공급비율),11%,2035,2014-09,신재생에너지 기본계획,산업통상자원부
1차에너지 공급량,290.8백만toe,2020,2021-04,에너지통계월보,에경연
1차에너지 공급량 [에너지원별],110.3백만toe,2020,2021-04,에너지통계월보,에경연
최종에너지 소비량,222.0.백만toe,2020,2021-04,에너지통계월보,에경연
최종에너지 소비량 [에너지원별],109.5백만toe,2020,2021-04,에너지통계월보,에경연
최종에너지 소비량 [부문별],137.4백만toe,2020,2021-04,에너지통계월보,에경연
최종에너지 소비량 [지역별],41.0백만toe,2019,2021-01,지역에너지통계연보,에경연
